Name_Of_Product            ,Product_ID               ,Inventory            ,Importer         
CHLOROTHIAZIDE SODIUM,29452,9276,SIGAN INDUSTRIES GROUP
KIMVENT,29453,30209,TOMMY HILFIGER TOILETRIES DIST.
CLEAR TIME,29454,41888,NXCARE INC
SYNACORT,29455,27521,RATITE PRODUCTS CANADA
ODYNIA-R,29456,28509,RESPIRATORY THERAPY SPECIALISTS INC.
MUSE,29457,61691,MYLAN BERTEK PHARMACEUTICALS INC.
COMPACT HAND SANITIZER,29458,51652,HEALTHPOINT CANADA ULC
CHLORAMPHENICOL,29459,5926,UNITED BIOLOGICS LTD
BABY TINY COLD,29460,68579,INTERNATIONAL SPF INC.
TUMMY UPSET,29461,87481,CANADA'S NUTRITION WORLD INC.
VALGANCICLOVIR,29462,6616,JEAN D'ESTREES S.A.S.
NUTMEG,29463,86015,TAKEDA PHARMACEUTICALS AMERICA INC
ATOPIC HEALER SYNERGY,29464,83346,CONKLIN COMPANY INC.
CLEAR SKIN,29465,1532,PORTIONPAC CHEMICAL CORP.
PNEUMOPAR,29466,49419,DERMAMED PHARMACEUTICAL INC.
LIVER ALIGN,29467,84010,RONA INC.
SUNMARK ACID REDUCER,29468,61933,LOREX PHARMACEUTICALS
TIS-U-SOL,29469,67672,L & L DISTRIBUTORS
PREMPHASE 14/14,29470,39473,NUTRAMEDICS HEALTH CORPORATION
RICH LIP COLOR,29471,63484,WALTMAN PHARMACEUTICALS INC
MEDLINE ACETAMINOPHEN,29472,8966,THE SUNRIDER CORPORATION
ALGONQUIN FOAMSAN,29473,27842,ECO CONCEPTS INC
FIRDAPSE,29474,81573,CARBOMED RESEARCH INTERNATIONAL INC.
LYTENSOPRIL,29475,27331,CHALLENGE DENTAL CANADA INC.
VIROTOX WN,29476,61528,ARMOUR PHARMACEUTICAL CO.
ICY COOL,29477,97573,CONVATEC CANADA LTD
VIVA PATCH,29478,24900,NUTRITIONAL FACTORS
QUETIAPINE,29479,73998,CANDERM G.P.
RAPAMUNE,29480,81285,COVER FX SKINCARE INC
OXALICUM ACIDUM,29481,20738,NUTRENA FEEDS CARGILL LIMITED
LOWER GI RELIEF,29482,10778,INTER-ACTIVE PHARMACEUTICALS
NASAL CATARRH,29483,37942,BIO AGRI MIX LP
MARQIBO,29484,26481,LUNDBECK PHARMACEUTICALS LLC
SULFISOXAZOLE,29485,23443,MERIX PHARMACEUTICAL CORP.
VICKS SINEX,29486,49118,EPI HEALTH LLC
TUNA,29487,28331,INTERNATIONAL LABORATORIES (CANADA) LTD.
RUST WHEAT,29488,26494,PROTECTOR CANADA INC.
TRICITRASOL,29489,59902,PFIZER CANADA INC ANIMAL HEALTH GROUP
CALENDULA PLUS,29490,25647,S.J. WHITAKER INDUSTRIES INCORPORATED
UNDA 38,29491,64918,LABORATOIRES SALADAY INC.
BLUEGESIC,29492,21328,TOPWIN TRADING CO. LTD
SODIUM BUTABARBITAL,29493,40350,TENDER CORPORATION
CAREALL ASPIRIN,29494,50061,AVENTIS BEHRING LLC
RECENS FOAM,29495,16984,VANC PHARMACEUTICALS INC
WOUND DEBRIDEMENT KIT,29496,34941,HESS & CLARK INC
SKINFIX HAND REPAIR,29497,54872,C WATER LIFE
MBM 8 SMALL INTESTINE,29498,40498,RICHLEA HOLDINGS LTD.
COLESTID,29499,17369,CHEMPOWER SPECIALTY CHEMICALS INC.
SEPIA,29500,36399,IDESOINS-DIVISION OF KANMARK PHARMA INC.
VERAPAMIL HCL,29501,4853,HYGIPRO INC.
FRESH JUICE E SERUM,29502,60458,JAMIESON LABORATORIES LTD
FRUIT SMOOTHIES,29503,33152,NORTHERN LIGHTS FITNESS PRODUCTS INC.
EAR WAX TREATMENT,29504,94178,PRESLEY LABORATORIES INC.
SUNSCREEN STICK,29505,47383,COPELAND LABS
DYNAREX BURN CREAM,29506,65191,DRC COMPANY
GUNA-DIZZY,29507,96788,SHILAT COSMETICS LTD.
ZOVIRAX,29508,22149,UNDA LABORATOIRES
SEVELAMER CARBONATE,29509,24435,COMPLEMENTARY FORMULATIONS
PHOTOFRIN,29510,34417,PHARMAMAG INC.
TOPCARE MICONAZOLE 3,29511,92646,ROYAL BODY CARE INC.
ANUSOL HC,29512,16257,MAGIC WHITE (WESTERN) LTD.
OXYGEN HELIUM MIXTURE,29513,42289,WEST PENETONE INC
STACHYBOTRYS,29514,55566,THE BUCKLEY'S COMPANY
GO-EVAC,29515,38087,KISS MY FACE LLC
MERCURIUS CORROSIVUS,29516,65427,DYNAMIC ESSENTIALS OF CANADA INC.
HELIANTHUS ANNUUS,29517,32385,FROMM LABORATOIRIES LTD.
CABLIVI,29518,63800,DMVET INC
HEALTH MART CALAMINE,29519,44394,LENTIA ENTERPRISES LTD.
ECO-CLEAN ELITE,29520,4961,TROPICANA CANADA
LIPO-CHORD,29521,60700,RINRONE ESTABLISHMENT
WAL TUSSIN CF MAX,29522,44701,HARPP INDUSTRIES INC.
CALCAREA PHOS,29523,14520,G.K. CHEMICAL SPECIALTIES CO. LTD.
PHRENILIN,29524,5487,ZAMBON CORPORATION
REEF KIDS SPF 30,29525,8620,ACCESS THERAPY CENTRE
GERMSTARNORO UNSCENTED,29526,15320,BEAUMONT BIO-MED INC.
COLD MAX,29527,23571,THE VITAMIN CONNECTION INC.
BUMOOLY-S,29528,62990,EXOTICA BEVERAGES INC.
ANGIOMAX,29529,31026,PROMOBILIA COM DISTRIBUTION CORP
BY FLOWER BB,29530,21467,PROD NATURELS DR LEBLANC INC.
LYSOL,29531,12436,YVES NADON INC.
SALINE REFILLS,29532,77833,NODEN PHARMA DAC
MCD HAND SANITIZER,29533,89805,ALVA-AMCO PHARMACAL COMPANIES INC.
XERANSIS,29534,76028,WORLD MEDICO LTD.
REMEDY SKIN REPAIR,29535,18783,FORKEM INC.
NOBAC PLUS,29536,99628,ALCAVIS HDC LLC
SOLE,29537,8930,LAMAS BEAUTY INTERNATIONAL
LONG LAST MAKEUP 01,29538,69111,MAAG TECHNIC AG
PERSERIS KIT,29539,95551,NUTRIBIOTIC
STELARA,29540,4751,NATURE'S HERBS INC.
CHICKEN,29541,58429,FRAN WILSON CREATIVE COSMETICS
UP AND UP LANSOPRAZOLE,29542,20972,HERBALIFE INTERNATIONAL OF AMERICA INC.
NOREPINEPHRINE,29543,39536,WYANT CHEMICAL COMPANY LTD.
DERRIS PINNATA,29544,2386,BLES BIOCHEMICALS INC
HUMCO WINTERGREEN OIL,29545,50624,CONFORTMEDIC TECHNOLOGIES INC
BOVISTA,29546,7842,PHIBRO ANIMAL HEALTH CORPORATION
CALCAREA CARBONICA 6X,29547,63327,NEXX BOXX LTD
GAPEAM BUDIBAC,29548,3627,VITA PLUS INDUSTRIES INC.
ED-A-HIST DM,29549,63408,SPRAY-PAK INDUSTRIES
GLIPIZIDE,29550,27658,PEPSI-COLA CANADA LTD.
POLY ANTIBIOTIC,29551,2978,AMANO PIONEER ECLIPSE CORPORATION
WINRHO,29552,41567,ALBERTA HEALTH SERVICES
DOVE IS FRESH,29553,837,DIAMOND DESTINIES INTERNATIONAL INC.
PHOXILLUM,29554,36158,PR PHARMACEUTICALS INC.
DEPAKENE,29555,64927,IMPORTATIONS MEDCO LTD.
CHLOR-TRIMETON 4HOUR,29556,22043,FLORADALE FEED MILL LTD.
BETOPTIC S,29557,71334,OXI BRITE INC
SLO-BID,29558,23102,GENERAL NUTRITION CANADA INC.
SUNBAR SPF 48,29559,15049,JOHNSONDIVERSEY INC.
COMPOUND W,29560,15000,CANCAP PHARMACEUTICAL LTD
PRUNUS,29561,58840,CALGON VESTAL LABORATORIES CANADA
PURE WHITE BRIGHTENING,29562,76163,TWIN-CEE LTD.
PROHANCE,29563,46162,PB PHARMA INC
COLCRYS,29564,46548,ALBERTA HEALTH SERVICES
MALMOREDE,29565,81001,BACH LABORATORIES INC.
BENZTHIAZIDE,29566,79021,METRO PHARM INC.
BLACK HEAD REMOVER,29567,70204,INSITE VISION INCORPORATED
EQUATE ASPIRIN,29568,59363,QUALITY CONTRACT MANUFACTURING
PREQUE 10,29569,34882,SANI-MARC INC
BENALDRYL,29570,15252,QWATRO CORPORATION
VIREAD,29571,97401,CIPLA LTD
NERVE PLUS COMPOSITION,29572,9199,FLORADALE FEED MILL LTD.
JON ARES ACNE CONTROL,29573,34083,RANDLE PHARMACEUTICAL INC.
MELALEUCA POLLEN,29574,61121,AQUAELECTRONIK TECHNOLOGIES INC
COTZ SENSITIVE SPF 40,29575,61622,HERITAGE MFG CO LTD.
MEDI WRINKLE SERUM,29576,87138,CANADA'S NUTRITION WORLD INC.
ALPHADERM,29577,79329,AID-PACK USA
SODIUM PHENYLBUTYRATE,29578,16652,CANDERM G.P.
NERVE PAIN RELIEF,29579,27859,HUNTER AMENITIES INTERNATIONAL LIMITED
TINTED SPF 45,29580,72639,CES CIE D EQUIPEMENT SANITAIRE LTEE
PRESTIGE,29581,11113,ARISE & SHINE
MAGNEVIST,29582,77388,MICROBIO SOLUTIONS INC
RELAXING LEGS,29583,38934,OCCY LABORATOIRE INC.
T-PHYL,29584,96509,MAXIMA PHARMACEUTICAL INC.
RITE AID SUNSCREEN,29585,15098,INTERNATIONAL JANITORS SUPPLIES LTD.
BUDPAK BACITRACIN,29586,16683,CONCORD PHARMACEUTICALS
RELNATE DHA,29587,78554,CYTO-MATRIX INC.
TRIVAL,29588,7211,PARKLANE DISPENSARY LTD.
NATURES SMILE,29589,7598,BRITLEY HOUSE CORP
SUNNY TROPICOLADA,29590,66325,NEW VISTAS INC.
MD-76R,29591,55099,CURAFAS INC.
IVA XANTHIFOLIA POLLEN,29592,59296,CELESTE INDUSTRIES CORPORATION
ALOE SUN BB,29593,28116,YSL BEAUTÉ CANADA INC.
ARSENICUM METALLICUM,29594,63957,GLOBAL BOTANICALS
ADHANSIA XR,29595,75448,KELLY PHARMACEUTICALS
MEIJER INTENSE HEALING,29596,34432,KANE BIOTECH INCORPORATED
SINU INHALER,29597,75209,LES PRODUITS NATURELS SUISSE INC.
TANDEM,29598,36720,BALCHEM LTD.
LEADER COUGH DM,29599,50292,NISSAN CHEMICAL INDUSTRIES LTD.
EFUDEX,29600,87132,PERLIER INC.
DEFINITY,29601,93687,LI CHUNG SHING TONG (HOLDINGS) LTD.
OGEN 2.5,29602,11759,ZOTOS INTERNATIONAL INC.
CERAVINE LIP BALM,29603,25779,ICN CANADA LTD.
RAGWITEK,29604,45645,KISS MY FACE CORPORATION
GREENFISH CLEANING-S,29605,15586,LIFIZZ VITAMINS INC.
CITRAMON,29606,80860,NOVOTECH LABORATORIES
CATTAIL,29607,71504,AMERICAN EQUINE PRODUCTS INC.
CESAMET,29608,66042,DIVERSEY INC
INFLAMASE MILD,29609,28884,ENAMELON INC.
EARWAX TREATMENT DROPS,29610,89733,NUTRA-HERB INTERNATIONAL INC.
ESTAZOLAM,29611,55793,DERMALOGIX PARTNERS INC.
VISCUM PINI,29612,15919,TANNING RESEARCH LABORATORIES INC.
KIMCHI VITAMIN,29613,37149,MALLINCKRODT CANADA ULC
NEORAL,29614,18951,MAAG TECHNIC AG
TABCIN,29615,65078,ALBERTON NATURAL RESOURCES INC.
CAREONE DAILY FACIAL,29616,33792,GRAHAM-FIELD INC.
MUSCLE SPASMS,29617,76997,DICKLER CHEMICAL LABS
COLD N COUGH 4 KIDS,29618,41257,T & M DISTRIBUTING
ARNICA ECHINACEA,29619,92446,TOTAL HEALTH CENTRE
MUCUS CLEAR,29620,43861,WORTHY PROMOTIONAL PRODUCTS
TREATMENT SET TS331046,29621,69163,DONOVAN INDUSTRIES INC.
SPOTLESS CLEANSER,29622,42302,RICOLA LTD.
IBLANC RESTORA-BRIGHT,29623,91967,HEUMANN PCS GMBH
TOPCARE CLEAR TIME,29624,36052,SIERRA SUMMITS SKIN PRODUCTS LLC
CHAPSTICK ULTRA SPF 30,29625,64572,PROVENSIS LTD
SEVERE COLD PE,29626,76956,PAINES AND BYRNE LTD.
SELECT BRAND ANTI-ITCH,29627,64225,PERFORMANCE HEALTH INC.
FLUTICASONE PROPIONATE,29628,58260,CHINOSOL FABRIK
CLOROX OXI DISH,29629,31644,SMITHS MEDICAL ASD INC
BIO SWEET CHESTNUT,29630,60928,CHEMETALL CANADA LTD
ZEP BLUE SKY FOAMING,29631,9544,BRENTDALE CHEMICALS
COPPER OXIDE 0.4,29632,6827,SAPIN FORTIN INC.
PACREAPLEX,29633,16441,BIO-STRATH AG
ISOVUE-200,29634,11491,COMBE INCORPORATED
LEG CRAMP AWAY,29635,72227,MACSIL INC.
FNG,29636,54715,MAGISTRAL BIOTECH INC.
CALLYSSEE,29637,92311,BWXT ITG CANADA INC.
ALLERGYEASE DESERT,29638,1313,NEOCHEM
AQUA RUSH SERUM,29639,28097,KOENDERS WATER SOLUTIONS
CAULOPHYLLUM,29640,14407,PHARMAGEL CAPSULES LTD.
KALIUM CARBONICUM PLEX,29641,69217,CRLS
Q HEALTH PAIN RELIEF,29642,3856,MANNATECH INC.
ROUGH MARSH ELDER,29643,6722,NAIM CANADA INC.
COCKROACH AMERICAN,29644,7514,CALIFORNIA TAN INC.
SSD AF,29645,6742,PROCTER & GAMBLE MANUFACTURING CO
KAEWOON,29646,32697,FERNDALE LABORATORIES INC.
MUSCLECARE,29647,79611,ENERGY BRANDS INC.
PROCAINAMIDE HCL,29648,49297,AMPHASTAR PHARMACEUTICALS INC.
RABBIT,29649,92236,MEDA AB
CULTIVATED OAT,29650,69552,NOEVIR USA INC.
TOTAL SUN PROTECTION,29651,82693,MONARCH PHARMACEUTICALS IRELAND LIMITED
XEOMIN,29652,22988,RALSTON PURINA CANADA INC.
GONITRO,29653,33093,CDMV INC.
RETIN-A-MICRO,29654,68904,MCCUAIG SOLUTIONS CORP.
A MOLD MIXTURE,29655,90407,PRESS SERVICE LTD.
BELLADONNA AND OPIUM,29656,90080,RINRONE ESTABLISHMENT
INDERIDE-80/25,29657,60969,1297681 ONTARIO INC.
CHILDREN'S CLARITIN,29658,32752,DONVIEW MANUFACTURING
PULMO MERCURIUS,29659,17010,PANDA PHARMACEUTICALS INC.
TENSION NO. 5,29660,14214,DEMOTEX 1986 LIMITEE
CVS SCALP RELIEF,29661,99792,CROWN CHEMICAL PRODUCTS INC.
CENCHRIS CONTORTRIX,29662,55986,STADA ARZNEIMITTEL AG
GAVISCON,29663,4464,ABBOTT LABORATORIES
MEDPAK(TM) DERMA GUARD,29664,13501,PHARMACIA & UPJOHN INC
COLDS SORES AND HERPES,29665,43359,MUELLER SPORTS MEDICINE INC.
REXALL MICONAZOLE 3,29666,46832,AKPHARMA INC.
MEPSEVII,29667,62534,TELIGENT OU
GB-TONE,29668,74956,JCP LABORATORIES INC.
FREDS,29669,18766,OLGA B BEAUTY + FRAGRANCES INC.
JIMIN ZHUIFENG GAO,29670,61367,WAYMADE PLC
MUSCLE ICE,29671,70974,TAYLOR PHARMACEUTICALS
ANCHOR FOAMING MANGO,29672,27717,VITALAIRE CANADA INC
NEXT 1 ANTI-BACTERIAL,29673,27624,WHEELS MAINTENANCE PRODUCTS LTD.
CARE ONE GAS RELIEF,29674,66539,AFRICAN EXTRACTS CC
LEDERCILLIN VK,29675,15711,DUPONT MERCK PHARMA INC.
DIFLORASONE DIACETATE,29676,72187,DISTRIBUTION SIMARD INC
ZEE UNASPIRIN,29677,92424,G.M.F. SRL
PHQUIROGEL,29678,98204,VALNEVA SWEDEN AB
EYES ALIVE,29679,3317,LES INDUSTRIES SANFACON INC.
EARWAX REMOVAL AID,29680,23094,PEGASUS GROUP INC.
DAYLOGIC BABY SPF 60,29681,31223,PORTIONPAC CHEMICAL CORP.
HYLENEX RECOMBINANT,29682,72143,CANAT LABORATORIES INC.
EPIPHEGUS VIRGINIANA,29683,80422,INTERPHARMA GROUP LTD.
ITCH AND RASH CREAM,29684,60376,LES PRODUITS JAMARIC ENR.
THERAGESIC CREME,29685,20929,WESTRIVET
BOOST REMEDY WATER,29686,28046,IMMUNOTEC INC
TOPCARE ANTI DIARRHEAL,29687,92201,EMDOKA BVBA
ENDACOF DM,29688,81763,SCANDINAVIAN FORMULAS INC.
P-CARE K80G,29689,51103,IVOCLAR VIVADENT AG
KENDALL MOISTURIZING,29690,83070,PIERRE FABRE DERMO-COSMETIQUE CANADA INC
TRETINOIN CREAM,29691,32769,STAR PRODUCTS INC.
ALSUMA,29692,68639,VETCOM 1979 INC.
ENVIRONMENTAL DEFENSE,29693,83698,CHALLENGE PRODUCTS INC.
ALTOPREV,29694,98845,MEDICINE POP INC.
MACI,29695,30092,AESTUS PHARMACEUTICALS CORP.
SANATOS,29696,50321,SIMONE PROTECTIVE PHARMACEUTICALS INC.
ESTROGEN,29697,74683,HUNTER AMENITIES INTERNATIONAL LIMITED
NATURAL WHITE,29698,32463,PIERRE FABRE PHARMA CANADA INC
MEDIQUE BAN-ACID,29699,77569,POTTER & CLARKE C/O BOOKER HEALTH FOODS
OXYRUB PAIN RELIEF,29700,21750,COMPANY_NAME
VENISON,29701,73109,BIO-CARE LABORATOIRES
SIMPLY RIGHT,29702,55569,BIOCRYST PHARMACEUTICALS INC
RIMACTANE,29703,54099,ESBA LABORATORIES INC
NERVOUSNESS COMPLEX,29704,87684,PHARMAQ AS
ARNICAID,29705,6083,BMB SALES AND MARKETING
CORO-CALM,29706,54288,NEPHRO-TECH INC.
GLONOINUM KIT REFILL,29707,47684,4410602 CANADA INC
VITILIGO,29708,10774,UNICOOP COOPERATIVE AGRICOLE
ACETA-GESIC,29709,4768,L' OREAL CANADA
SHADE UVAGUARD,29710,235,NOVARTIS PHARMACEUTICALS CANADA INC
AZOLID,29711,51795,DONNA KARAN COSMETICS DIST.
LEADER,29712,60514,PRODUITS CHIMIQUES MAGNUS LTEE
COMTREX,29713,74864,ASTRAZENECA L.P.
LONG WEAR GET OVER BB,29714,95011,ALOE CARE INTERNATIONAL LLC
TOPCARE ACID REDUCER,29715,13052,IVAX PHARMACEUTICALS INCORPORATED
MERCURY PLUS DETOX,29716,80334,AMMA MANAGEMENT
12 HOUR COUGH RELIEF,29717,45214,ENRICH INTERNATIONAL CANADA
NEURO 3,29718,45242,CENTRAL DENTAL CO LTD.
DOCUSATE SODIUM LIQUID,29719,88465,PROTECTOR CANADA INC.
DERMASIL SENSITIVE,29720,97324,GRAHAM CHEMICAL CORP.
RENORMAX,29721,81268,RMC GROUP INC.
P-CARE 100MX,29722,1596,E-Z-EM INC.
SOMBRA WARM THERAPY,29723,74731,PNC CANADA LTD.
SELECT BRAND CALACLEAR,29724,61451,PALADIN LABS INC
ELAS GEL,29725,82325,LADERMA TRADING PTY LTD.
ANXIETY HP,29726,59822,VINCO INC.
DRISTAN 12 HR,29727,41831,LOFTHOUSE OF FLEETWOOD LTD.
DG HEALTH OMEPRAZOLE,29728,81806,DEN-MAT CORPORATION
HAMSOA YUYU DERMA119,29729,63437,VITA-SANTE DISTRIBUTIONS
ICY HOT,29730,89910,MARY KAY COSMETICS LTD
CATAPRES-TTS-2,29731,52026,ASHBURY RESEARCH CORPORATION
STIE-CORT,29732,94356,PFIZER CANADA INC ANIMAL HEALTH GROUP
ENERGIZE RXS,29733,30225,ACME-CHASTON INC.
CS-BRAIN,29734,50385,FLORIAN HEALTH
ALOPHEN,29735,85388,IDELLE LABS LTD
REA LO 40,29736,3050,GERI-CARE PHARMACEUTICALS CORP.
RHINO LONG POWER,29737,22664,LISE WATIER COSMETIQUES INC
NEO-FRADIN,29738,6115,VENUS MULTILIGNE LTD.
CHAPSTICK FLAVA CRAZE,29739,26234,MILLENIUM HEALTHCARE CORP.
BETAPACE AF,29740,32347,ECOLOGY SOLUTIONS INC.
STALEVO 75,29741,80042,ELIZABETH ARDEN (CANADA) LIMITED
EMVITA 22,29742,45759,DESHELI CANADA INC
FOAMAHOL,29743,54428,BECTON DICKINSON
FORMUCARE ASPIRIN,29744,43261,LABORATORY SKIN CARE INC.
VANILLA CREAM,29745,13492,FUTURE FORMULATIONS
TUSSIGON,29746,45897,TAIHO PHARMA CANADA INC.
EM SHEA BUTTER CREAM,29747,85721,ANTEIS SA
BENZINUM,29748,94873,RICOLA LTD.
DEGREE FOR MEN CLEAN,29749,12429,CODY FOOD EQUIPMENT
QUESTRAN,29750,38280,COLOMER USA
INJURY HP,29751,21835,ALPHA THERAPEUTIC CORPORATION
HZ FORMULA,29752,85005,TAP PHARMACEUTICALS INC.
ORIENTAL FERMENTED,29753,19647,MULTI-CLEAN
LOPINAVIR-RITONAVIR,29754,3450,CAPITAL CITY SUPPLIES LTD.
TACT,29755,91721,ARROW INTERNATIONAL INC.
MOISTURE SURGE,29756,96406,INTERNATIONAL CONSOLIDATED BUSINESS INC
BUTALBITAL COMPOUND,29757,73288,MEDALLION INFO INC.
SENNA S,29758,29641,NATURE'S NUTRITION AND REMEDIES
FEMADRINE,29759,17082,GLEN MARTIN LTD.
CHILDRENS SABADIL,29760,67018,HERITAGE PRODUCTS
RELIEF TOWELETTE,29761,3638,CHEMOTEC (PM) INC.
DIAPERRASHOINTMENT,29762,8059,CALGON VESTAL LABORATORIES INC.
PINDAC,29763,5690,CHEMEX CANADA
CYKLOKAPRON,29764,39666,BRONCHOSIRUM INC.
CHLORDIAZACHEL,29765,16786,ID BIOMEDICAL CORPORATION OF QUEBEC
HEALTH MART IODIDES,29766,83717,TRANS CANADERM INC.
CVS EARWAX REM,29767,73688,SHIRE PHARMA CANADA ULC
BIO CHICORY,29768,11143,BARRETT HODGSON PAKISTAN (PVT) LIMITED
AIR POWER,29769,97704,LEEMING DIVISION OF PFIZER CANADA INC.
LUNG CARE,29770,38428,TECHPHARM INC.
VP-GGR-B6,29771,92197,LA COUPE
ZORBTIVE,29772,52321,ELKINS-SINN INC.
CAPRON DM,29773,35926,MEDENTECH
HYDRO-RESERP,29774,89545,SPLENODEX CANADA INC.
LIPODOX 50,29775,47758,MOREX SOCIETY REG'D.
TRANQUIL,29776,91001,N.A.K.P. FOTO INC.
DRY COUGH,29777,55403,SHARK PRODUCTS INC.
UNDA 1001,29778,17421,MLO PRODUCTS COMPANY
ZUMANDIMINE,29779,41518,GOLDEN PRIDE/RAWLEIGH
ASSURED T AND PLUS,29780,54067,EVONIK STOCKHAUSEN LLC
COLLAGEN HD COVER BB,29781,1673,LOREX PHARMACEUTICALS OF CANADA LTD.
ACUTE KARE HAND SP.,29782,47479,TELECTRONICS PACING SYSTEMS INC.
HCGPLUS,29783,78685,YVES ROCHER AMERIQUE DU NORD INC
GRX DYNE,29784,18064,KAIZEN INC.
SUNMARK CAMPHOR SPIRIT,29785,73093,VITALAIRE CANADA INC
ERGOMAR,29786,23595,CRITERION SCIENCES
LEUKOTRAP WB SYSTEM,29787,63059,PHARMALINE INCORPORATED
DR. IASO VITA WHITE,29788,78738,HUVEPHARMA EOOD
NICOTINUM,29789,9077,SOMALIFE INTERNATIONAL INC.
MUCOR RACEMOSUS,29790,11793,DEB CANADA INC.
LICE COMPLETE KIT,29791,22664,SUNDOWN VITAMINS
UNDA 74,29792,79920,LEYSONS PRODUCTS
RELIEF BALM,29793,72858,WENTWORTH HALL
REVERDIR AMPOULE 7ML,29794,10774,ORGANON TEKNIKA CANADA INC.
VANCOMYCIN,29795,47671,CIPLA LTD
WERA,29796,53625,ELANCO DIVISION ELI LILLY CANADA INC
MAXZIDE,29797,38273,NION CORP
DISCOUNT DRUG MART,29798,64982,AMWAY OF CANADA LTD.
DAYWEAR,29799,20119,PHARMACEUTIQUE INGENEW INC.
EMESYL NAUSEA RELIEF,29800,60859,19TH HOLE PRODUCTS LLC
AQUA FIT CUSHION N31,29801,38623,HEALTH & HOMEOPATHY SHOP
TREATMENT SET TS347227,29802,74337,JEDMON PRODUCTS LTD.
CLEARASIL DAILY CLEAR,29803,48019,COTY CANADA INC.
SINUS RESCUE,29804,94677,E EXCEL LLC
STROMECTOL,29805,49329,TWINS MANUFACTURING CHEMISTS
YES TO COCONUT,29806,30896,VIGORXPHARM INC.
COR AURUM 17/10,29807,58839,SANBEC (1981) LTEE
EVESERUM,29808,82641,ANDIS COMPANY
DAY TIME GELCAP,29809,75096,WATER SOLUBLE SUPPOSITORIES INC.
OCUFEN,29810,37021,OLGA B BEAUTY + FRAGRANCES INC.
BLUE BEECH (HORNBEAM),29811,1309,VITAL SOLUTIONS LLC
SKLICE,29812,11919,ID BIOMEDICAL CORPORATION OF QUEBEC
REGLAN ODT,29813,19495,S & B DISTRIBUT 2001 CHEMICALS SUPPLIES
DR CELLAPY SR PREMIUM,29814,82709,MAYNE PHARMA (CANADA) INC.
FIRE OUT,29815,13448,LE NIGEN N. INDUSTRIES
TAGRISSO,29816,92063,LE NATURISTE J.M.B. INC.
LIGNOSPAN STANDARD,29817,66117,NUTRISTAR HEALTH PRODUCTS (1987) INC.
GERIMAL,29818,7884,THE BODY SHOP CANADA LIMITED
OXYCODONE HCL,29819,5256,L & S RESEARCH CORPORATION
BILTRICIDE,29820,57773,JIM LEWIS AGRI-NUTRITION (1984) INC.
BLACKEYED PEA,29821,12824,TRIPOD FAMILY FOOT CARE CENTRES INC.
MOON DROPS,29822,63685,TETRA WERKE DR ULRICH BAENSCH GMBH
ULTRESA,29823,60158,VITAMEC USA
PAINZAWAY BALM,29824,2094,R & D LABORATORIES INC.
FOCALINXR,29825,58912,MACROCHEM CORP
RENEW BODY CLEANSER,29826,36351,THE PROCTER & GAMBLE COMPANY
GUNA-MOOD,29827,31193,GLENWOOD INC.
GUANFACINE,29828,25035,HI-GA HEALTH INC.
AAFX SKIN,29829,61005,SERVI-VET INC.
FALESSA,29830,14353,TERRA BOTANICA PRODUCTS LTD.
RENOWN ANTISEPTIC,29831,40477,BIOCENTRE
MORGIDOX,29832,15557,NU SKIN CANADA INC.
CEREBRAPLEX,29833,73322,MARRIN BROTHERS LTD.
PEMETREXED DISODIUM,29834,63898,DAVID ASTLEY AND COMPANY INC.
WILLOW FERN,29835,29829,JODA INDUSTRIES
PROZAC WEEKLY,29836,41730,PHARMAMAG INC.
CEFDITOREN PIVOXIL,29837,94798,EXTRACTOL INDUSTRIES (1982) LTD.
CHILDRENS MUCUS RELIEF,29838,90806,QUIXTAR CANADA CORPORATION
PEPCID AC,29839,51946,KARO ENRG LES COSMETIQUES
VIVACITY,29840,50883,CARDINAL HEALTH CANADA INC
ORUDIS KT,29841,37367,MASSON AGENCIES LTD.
ESTESOL CLEAR,29842,71620,JOUVEINAL INC.
LUNG AND SINUS,29843,8619,ARKOPHARMA CANADA INC.
PARAKEET FEATHER,29844,68310,MERCK SHARP & DOHME (UK) LTD.
SOTRADECOL,29845,19138,G.M.F. SRL
E-HCG,29846,50895,PHARMACIA ANIMAL HEALTH
CLEAN AND CLEAR,29847,78750,BAKER CUMMINS INC
EROGETONE,29848,66036,SAFE HANDS INCORPORATED
NOSNO,29849,98191,MAGISTRAL BIOTECH INC.
REFISSA,29850,15777,IAF BIOVAC INC.
EMVITA 26,29851,63317,NEOGEN CORPORATION
HERB BLENDING TONER,29852,69532,PALADIN LABS INC
WHISKCARE 377 FREE,29853,20889,PRESERVE INC DBA PRESERVE INTERNATIONAL
GONAL-F RFF,29854,1484,BAYER HEALTHCARE LLC
MUCUS RELIEF DM,29855,76336,LEO PHARMA INC
SHISEIDO WHITE LUCENT,29856,60443,GENDERM CORPORATION
LIVEREX I,29857,34555,PORTIONPAC CHEMICAL CORP.
NATUREPLEX TOLNAFTATE,29858,72156,FLU GOO CORPORATION
BABY ANESTENKA,29859,81352,NOVARTIS CONSUMER HEALTH CANADA INC.
NO-AD 85 SUNSCREEN,29860,48180,GLOPROFESSIONAL
OC EIGHT,29861,27200,MP ACQUISITION LLC DBA MOPEC
P-CARE D40G,29862,60581,US VIGGO INC. (DBA VIGGO-SPECTRAMED)
